Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	Bruce Atkinson	published on 11/22/20 at 4:56 PM	http://twitter.com/BruceAtkinson19/status/1330631291461570560	@PeratonCorp Another democratic criminal front		78Twitter Followers
Twitter	Roy Roger	published on 11/22/20 at 4:10 PM	http://twitter.com/Royrogerme/status/1330619805204934657	Peraton Awarded $950M Advanced Battle Management System IDIQ Contract Peraton upflow.co/l/SVVK pic.twitter.com/aSJUeHPoSc	http://twitter.com/Royrogerme/status/1330619805204934657	153Twitter Followers
Twitter	Aliza Goldberg 	published on 11/18/20 at 6:39 PM	http://twitter.com/aliza_goldberg/status/1329207511728218122	@BrianBWagner @PeratonCorp pic.twitter.com/f5akFtpWdD	http://twitter.com/aliza_goldberg/status/1329207511728218122	974Twitter Followers
Twitter	WashingtonExec	published on 11/18/20 at 5:50 PM	http://twitter.com/washingtonexec/status/1329195189013983242	@PeratonCorp Wins $950M Advanced Battle Management System IDIQ. Learn More: ow.ly/Q22350Cnx4Q		5.2KTwitter Followers
Twitter	Brian Wagner	published on 11/18/20 at 2:26 PM	http://twitter.com/BrianBWagner/status/1329143943930458117	@aliza_goldberg @PeratonCorp you should interview that employee who hiked the ENTIRE Pacific Crest Trail		3.2KTwitter Followers
Twitter	Aliza Goldberg 	published on 11/18/20 at 2:04 PM	http://twitter.com/aliza_goldberg/status/1329138510754947072	I love talking to @PeratonCorp employees and writing about not just what they do for the company (which is always something REALLY COOL), but also who they are.		975Twitter Followers
Twitter	Trajectory Magazine	published on 11/16/20 at 2:00 PM	http://twitter.com/TrajectoryMag/status/1328412607561216000	Weekly #GEOINT Community News: @Esri Announces Launch of #arcgis Field Maps, @BAESystemsInc Secures $94M to Deliver Advanced Technology to the @USNavy & more from @planetlabs @IBM @SAICinc @PeratonCorp ow.ly/w57M50Cm02L pic.twitter.com/QXvm5JrrBo	http://twitter.com/TrajectoryMag/status/1328412607561216000	3.8KTwitter Followers
Twitter	fabman10	published on 11/13/20 at 7:01 PM	http://twitter.com/fabman086250641/status/1327401255929475073	@PeratonCorp Going down pedo!!!		117Twitter Followers
Twitter	RUDY'S LAP	published on 11/12/20 at 4:26 PM	http://twitter.com/neverYrump/status/1326999902056943616	@PeratonCorp EPSTEIN PLEA DEAL HELSINKI COVID FAILURE SORE POSER LOSER		3Twitter Followers
Twitter	Melody Pleasure	published on 11/12/20 at 12:20 PM	http://twitter.com/MelyBunni/status/1326937921157550083	So cool! Can you find my house?? #Peraton #DoTheCantBeDone #VeteransDay2020		86Twitter Followers
Twitter	Yamatsu	published on 11/12/20 at 8:18 AM	http://twitter.com/AnthonyCasino/status/1326877065791074304	@CzBacklash Think of it this way: Task has the ability to be serious now that his duty is over, right? If Borky is able to be funny and also be serious when shit needs to get done, why can’t Task? If anything, get your yucks in now, because shit’s gonna get real tense with Peraton some day.		21Twitter Followers
Twitter	cyberjobmentor	published on 11/12/20 at 7:42 AM	http://twitter.com/cyberjobmentor/status/1326867873860612099	Check out this job from Peraton linkedin.com/jobs/view/2268…		874Twitter Followers
Twitter	Melody Pleasure	published on 11/11/20 at 9:35 AM	http://twitter.com/MelyBunni/status/1326534128456658944	This #VeteransDay we show our appreciation for their sacrifices and contributions.  #Peraton #DoTheCantBeDone #VetAppreciation #GreenLightAVet #ThankYou lnkd.in/dFzXw-8  pic.twitter.com/Vhv8iNNrqP	http://twitter.com/MelyBunni/status/1326534128456658944	86Twitter Followers
Twitter	Brian Wagner	published on 11/11/20 at 8:44 AM	http://twitter.com/BrianBWagner/status/1326521194477182976	For #VeteransDay I sat down w/@TeamRWB to discuss: The veteran community's future Shortfalls for helping veterans Rewards & challenges in addressing those shortfalls How the military has changed in the last 20 years peraton.com/understanding-… @PeratonCorp #DoTheCantBeDone		3.2KTwitter Followers
Twitter	SatNews 	published on 11/11/20 at 4:10 AM	http://twitter.com/SatNewsMedia/status/1326452120967475200	Peraton Collects JADC2 Contract From USAF dlvr.it/RlRcqf pic.twitter.com/0xShbUMYS2	http://twitter.com/SatNewsMedia/status/1326452120967475200	2.9KTwitter Followers
Twitter	DefPost	published on 11/10/20 at 1:33 AM	http://twitter.com/defpostmedia/status/1326050314315685888	#Peraton awarded $950 million Advanced Battle Management System IDIQ contract. #ABMS #JADC2 @PeratonCorp defpost.com/peraton-awarde… pic.twitter.com/Fryfr7v3gI	http://twitter.com/defpostmedia/status/1326050314315685888	1.4KTwitter Followers
Twitter	VonSwySolutions	published on 11/09/20 at 8:46 PM	http://twitter.com/LaTashia115959/status/1325978095980060678	The latest VonSwy careerCHATS! paper.li/e-1526348686?e… Thanks to @SCT_Event @ThisWeekinFM @bonillacuevas #facman #peraton		149Twitter Followers
Twitter	Jason Reagan	published on 11/09/20 at 8:07 PM	http://twitter.com/JasonPReagan/status/1325968184986505219	#Drone Firm Unifly Joins Canadian #BVLOS Project | #UTM #UAS @Drone_Life @UniflyUTMS @PeratonCorp ow.ly/fc5h50Cg6Cy		990Twitter Followers
Twitter	ExecutiveBiz	published on 11/09/20 at 3:02 PM	http://twitter.com/ExecutiveBiz/status/1325891417466605573	.@PeratonCorp Holds Spot on $950M @usairforce #ABMS #Contract Vehicle; John Coleman, @kschweer Quoted blog.executivebiz.com/2020/11/perato…		3.8KTwitter Followers
Twitter	Melody Pleasure	published on 11/09/20 at 2:13 PM	http://twitter.com/MelyBunni/status/1325879101194973192	 #Peraton #DoTheCantBeDone #VetAppreciation 		86Twitter Followers
Twitter	Engineering Daily	published on 11/09/20 at 11:52 AM	http://twitter.com/EngineersDay/status/1325843622105919488	[Job] Cyber Threat Analyst-Entry Level | Company: Peraton | Location: Sioux Falls SD South Dakota United States | #Sioux #Falls #Energy #Engineering #Jobs | More info at g.drctry.biz/r/2IRLJ		16.1KTwitter Followers
Twitter	DeKidd Boricua	published on 11/09/20 at 10:18 AM	http://twitter.com/gfschwarz/status/1325820062847131649	Honoring our Veterans and Military this Veterans Day. #peraton #vetappreciation #greenlightavet #dothecantbedone instagram.com/p/CHX_BWvhGPy/…		74Twitter Followers
Twitter	GovBrew	published on 11/09/20 at 9:38 AM	http://twitter.com/GovBrew/status/1325810099693236225	Peraton awarded $950M ABMS position #govcon #federalcontracting #governmentcontracting LINK:intelligencecommunitynews.com/peraton-awarde…		20Twitter Followers
Twitter	Jack Poulson	published on 11/07/20 at 6:41 PM	http://twitter.com/_jack_poulson/status/1325221932292329472	Both Peraton and Alion Science & Technology are contracting on FABRIC's CHEETAH. pic.twitter.com/tMz9FjWZzC	http://twitter.com/_jack_poulson/status/1325221932292329472	2.2KTwitter Followers
Twitter	PotomacOfficersClub	published on 11/06/20 at 2:02 PM	http://twitter.com/PotomacOfficers/status/1324789163263221760	Kevin Meiners, former deputy director of #nationalintelligence for enterprise capacity at the @ODNIgov, has been appointed to @PeratonCorp's #advisory board. Read more: ow.ly/Nbm750CdufD pic.twitter.com/V1HRERRzSQ	http://twitter.com/PotomacOfficers/status/1324789163263221760	489Twitter Followers
Twitter	GovBrew	published on 11/06/20 at 6:49 AM	http://twitter.com/GovBrew/status/1324680394248245248	Peraton adds Kevin Meiners to advisory board #govcon #federalcontracting #governmentcontracting LINK:intelligencecommunitynews.com/peraton-adds-k…		18Twitter Followers
Twitter	ExecutiveBiz	published on 11/05/20 at 2:30 PM	http://twitter.com/ExecutiveBiz/status/1324433929101783040	Former @ODNIgov Official Kevin Meiners Joins @PeratonCorp #Advisory Board; @stushea Quoted blog.executivebiz.com/2020/11/former…		3.8KTwitter Followers
Twitter	RobotDefenceBird	published on 11/05/20 at 12:20 PM	http://twitter.com/RoboDefenceBird/status/1324401103228731392	Peraton Names Former Deputy Director of National Intelligence for Enterprise Capacity Kevin ... dlvr.it/Rl45v8		218Twitter Followers
Twitter	Count von Count The Votes	published on 11/05/20 at 12:10 PM	http://twitter.com/BrianBWagner/status/1324398571857211392	Today @PeratonCorp welcomed former Deputy Director of National Intelligence for Enterprise Capacity, Kevin Meiners, to the #Peraton Advisory Board peraton.com/peraton-names-… #dothecantbedone #intelligencecommunity		3.2KTwitter Followers
