Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	The JDF	published on 11/20/20 at 1:45 PM	http://twitter.com/jdffeet/status/1329858305808797699	What’s #GivingTuesday &How You Can Help. See our #youtube #video & #subscribe to our channel! Make us your fav #charity.Thx! buff.ly/3n5HEg8 #FridayThoughts #FridayMotivation #FridayFeeling #FridayVibes #nonprofit #donate #GivingTuesday2020 #fundraising #Mantech pic.twitter.com/QKhCn80MpF	http://twitter.com/jdffeet/status/1329858305808797699	"2Retweets
2.6KTwitter Followers"
Twitter	The JDF	published on 11/20/20 at 8:30 AM	http://twitter.com/jdffeet/status/1329779031672229888	Our JDF volunteers rock!! See our giving stories at jdffeet.org & our #YouTube & subscribe. Thx! buff.ly/3i6OTT9 #givingback #payitforward #volunteer #pandemic #videos #FridayMorning #FridayMotivation #FridayThoughts #FridayFeeling #FridayVibes #Mantech pic.twitter.com/OuHUm7dNpN	http://twitter.com/jdffeet/status/1329779031672229888	"2Retweets
2.6KTwitter Followers"
Twitter	The JDF	published on 11/18/20 at 11:00 AM	http://twitter.com/jdffeet/status/1329092021534003201	We’re at The JDF playhouse! Take a peek at the fun b4 the giving start! Pls watch our #youtube #video & #subscribe .Thx! buff.ly/3kInKGu #BirdiesForCharity #love #WednesdayThoughts #WednesdayWisdom #WednesdayMotivation #WednesdayVibes #humpday #Mantech #Walmart #GDIT pic.twitter.com/kEQTFvTGB2	http://twitter.com/jdffeet/status/1329092021534003201	"2Retweets
2.6KTwitter Followers"
Twitter	Baltimore Business	published on 11/14/20 at 10:00 AM	http://twitter.com/BaltBizOnline/status/1327627392895037441	Herndon, Virginia-based @ManTech made its first M&A move of 2020, purchasing a Hanover #cybersecurity firm with ties to the intelligence community. #acquisitions #Maryland #IT​ bizjournals.com/baltimore/news…		"1Retweets
1Twitter Likes
46KTwitter Followers"
Twitter	Appgate	published on 11/12/20 at 1:19 PM	http://twitter.com/AppgateSecurity/status/1326952684990164992	We're joining forces with @ManTech on 11/19 at 11amEST, to discuss how this year is reshaping the #networksecurity strategies of Federal and Commercial sectors and how to jumpstart your #ZeroTrust initiatives. Register Here: bit.ly/31uFrCC #Cybersecurity #SecureAccess pic.twitter.com/HNDUfor5b5	http://twitter.com/AppgateSecurity/status/1326952684990164992	"2Retweets
305Twitter Followers"
Twitter	The Female Quotient	published on 11/11/20 at 12:46 PM	http://twitter.com/femalequotient/status/1326582082663903232	"Tune in live with war heroes on their journey as soldiers, their representation or lack thereof in the media & the newly released, critically acclaimed movie ""A Call to Spy."" facebook.com/watch/?v=38150… @ManTech @Facebook @SarahMeganT @acalltospy @stephaniemehta @FastCompany pic.twitter.com/Tr3OaobtnN"	http://twitter.com/femalequotient/status/1326582082663903232	"1Retweets
1Twitter Likes
21.3KTwitter Followers"
Twitter	Miracle's Tasty Expr	published 3 hours ago	http://twitter.com/miraclestastyex/status/1334845765894737921	 Today (1 of 2): 11am-12:30pm @ Mantech (1025 Northpointe Industrial Rd, 29410) @sffCHS		"1Retweets
54Twitter Followers"
Twitter	ExecutiveBiz	published on 12/03/20 at 1:30 PM	http://twitter.com/ExecutiveBiz/status/1334565689559052294	.@ManTech Wins $273M @DHSgov #Contract to Provide Advanced #Analytics to @CBP blog.executivebiz.com/2020/12/mantec…		"1Retweets
3.9KTwitter Followers"
Twitter	Florida Economic Development Council	published on 12/02/20 at 6:13 PM	http://twitter.com/FloridaEDC/status/1334274640320016385	Jacksonville Aviation Authority approves a $12 million hangar project at #CecilAirport for ManTech Advanced Systems International. bit.ly/3ohLLX0 #JAA		"1Retweets
3.6KTwitter Followers"
Twitter	The JDF	published on 11/24/20 at 3:53 PM	http://twitter.com/jdffeet/status/1331340069706362881	We’re giving away #bikes! Please watch our #Youtube #video & #subscribe. Thx! buff.ly/313azIn Bikes r sweetening our giveaways! #GivingBack #GoodNews #Health #Kids #inspiration #TuesdayThoughts #Love #tuesdayvibes #TuesdayMotivation #GoodTuesday #TuesdayTreat #Mantech pic.twitter.com/GhndFBnGng	http://twitter.com/jdffeet/status/1331340069706362881	"1Retweets
2.6KTwitter Followers"
Twitter	Vishal Sharma	published on 11/19/20 at 7:04 AM	http://twitter.com/vishne0/status/1329395216764157954	Global Military Cyber Security Market Expected To Reach Highest CAGR By 2025: Lockheed Martin, ManTech, IBM Corporation, Northrop Grumman Corporation, Cisco Systems, BAE Systems etc. - TechnoWeekly technoweekly.com/technologies/1… #cybersecurity #infosec #security		"1Retweets
6.8KTwitter Followers"
Twitter	The JDF	published on 11/17/20 at 5:30 PM	http://twitter.com/jdffeet/status/1328827766582767619	See how we helped this community touched by #COVID19 in the Nov issue of The JDF Footprints. buff.ly/3jJ0Q0R #nonprofit #givingback #love #TuesdayThoughts #TuesdayVibes #GoodTuesday #TuesdayMorning #GivingTuesday #nonprofit #charity #GoodNews #Mantech #TuesdayTreat pic.twitter.com/VY4WaxT7J8	http://twitter.com/jdffeet/status/1328827766582767619	"1Retweets
2.6KTwitter Followers"
Twitter	Berkery Noyes	published on 11/17/20 at 3:57 PM	http://twitter.com/BerkeryMandA/status/1328804356523749377	ManTech International Corporation, acquired Minerva Engineering #acquisition #mna mna.im/?a=S8l		"1Retweets
483Twitter Followers"
