Platform	Author	Publish Time	URL	Content	Thumbnail	Metrics
Twitter	Singing in the Cloud	published on 09/09/20 at 8:53 PM	http://twitter.com/SingingInDCloud/status/1303859011721277441	rt @wef @mikequindazzi @antgrasso @fisher85m This new report outlines six key trends for the future of media. It plots a ‘value map’ for media - an alternative framework for considering how the industry will develop. Read more: bit.ly/3jM0WFz @Accenture pic.twitter.com/fgWEvDl23K	http://twitter.com/SingingInDCloud/status/1303859011721277441	"18Retweets
4Twitter Likes
4.8KTwitter Followers"
Twitter	Ronald van Loon	published on 09/23/20 at 7:17 PM	http://twitter.com/Ronald_vanLoon/status/1308908256979550208	#MachineLearning As A Solution. by @Accenture #MI #MachineLearning #ArtificialIntelligence #DataScience #Analytics #IoT #AI #DataAnalytics #DataScience #EmergingTech Cc: @rudyagovic @dirkschaar @space_mog pic.twitter.com/lAYYKk4cnP	http://twitter.com/Ronald_vanLoon/status/1308908256979550208	"14Retweets
7Twitter Likes
232.5KTwitter Followers"
Twitter	ENGIE Project	published on 09/23/20 at 8:25 AM	http://twitter.com/ENGIE_Project/status/1308744340026654722	@Livvy_Carroll is @Accenture’s Applied Intelligence #Mining Lead. She is one of the experts who shared with our team her inspiring story on why girls should study #geology or geo-engineering. bit.ly/3kuz09D #GenerationEquality #WomenInSTEM #WomenInGeology pic.twitter.com/ix7tTHqU48	http://twitter.com/ENGIE_Project/status/1308744340026654722	"10Retweets
11Twitter Likes
290Twitter Followers"
Twitter	Dion Hinchcliffe	published on 09/19/20 at 10:05 PM	http://twitter.com/dhinchcliffe/status/1307501117312348162	#Leadership lessons from @Accenture’s Incoming CIO @pgprett dlvr.it/Rgylwm With @marthaheller | @CIOOnline #NewCSuite pic.twitter.com/apYvtINs4m	http://twitter.com/dhinchcliffe/status/1307501117312348162	"8Retweets
13Twitter Likes
57.6KTwitter Followers"
Twitter	Suleiman Gargaare	published on 09/17/20 at 1:59 AM	http://twitter.com/Gargaare/status/1306472824358477825	Current machine-based technology can boost business productivity by up to 40%, according to Accenture. #ArtificialIntelligence #MachineLearning #SEO #DeepLearning #DataScience #BigData #AI #ML #Business #Marketing #Algorithms #Technology #IoT searchenginejournal.com/machine-learni…		"12Retweets
9Twitter Likes
5.2KTwitter Followers"
Twitter	GeeksGod	published on 09/07/20 at 8:53 AM	http://twitter.com/GeeksGod_/status/1302953158440755202	Accenture is Hiring Graduates for Digital Marketing  Company : Accenture Position : Digital Marketing - Content management Qualifications : Any Graduate Apply Now geeksgod.com/accenture-is-h… #Jobs #100DaysOfCode #CodeNewbie #DataScience #WomenWhoCode #Hiring #marketing		"17Retweets
4Twitter Likes
240Twitter Followers"
Twitter	W20 Saudi Arabia	published on 09/01/20 at 9:18 AM	http://twitter.com/w20org/status/1300785101249413122	During September, we will be publishing a series of articles in partnership with @accenture, exploring topics from the missing voices of #women in #decisionmaking to the need for #equal access to #digital technology. Read the first article on our website! pic.twitter.com/yqjMe4d4Sh	http://twitter.com/w20org/status/1300785101249413122	"9Retweets
12Twitter Likes
10.5KTwitter Followers"
Twitter	Ravi Dugh	published on 08/26/20 at 11:06 AM	http://twitter.com/ravidugh/status/1298638030329217031	Open Banking: Measuring success to drive value Link>>buff.ly/2CVnZhi @Accenture #FinTech #DigitalTransformation cc @rwang0 @Nicochan33 @antgrasso @CyrilCoste @andi_staub @andy_lucerne @amitdugh @TheWaveWhiz @SabineVdl @TerenceLeungSF pic.twitter.com/HhvcDg8X4S	http://twitter.com/ravidugh/status/1298638030329217031	"12Retweets
9Twitter Likes
1.6KTwitter Followers"
Twitter	Marcus Borba	published on 09/22/20 at 3:30 PM	http://twitter.com/marcusborba/status/1308488851946692608	Digital #Human Partnership—IBM, Amazon, Deloitte, DXC, and Accenture are partnering with #digital human experts at @UneeQAI to push the ongoing adoption of advanced conversational #AI #CX #Chatbot #ArtificialIntelligence bit.ly/32LNxaV @IntEngineering via @jeanyvesgonin pic.twitter.com/03tCPzdGBR	http://twitter.com/marcusborba/status/1308488851946692608	"10Retweets
10Twitter Likes
40.1KTwitter Followers"
Twitter	Umar Khalid Stan acc   #VivaPalestina	published on 09/15/20 at 6:34 AM	http://twitter.com/SakhtAlfaaz/status/1305817233281617920	"25K people fired by Accenture needn't worry. ""Aadhi roti khao.."" kyunki mooli ko bhi jitana hai na?! Enjoy your aadhi roti. "		"3Retweets
14Twitter Likes
748Twitter Followers"
Twitter	Novartis Foundation	published on 09/16/20 at 6:46 AM	http://twitter.com/NovartisFDN/status/1306182563694862336	The Honorable Paula Ingabire, Minister of ICT and Innovation of Rwanda, tells us why #AIinHealth is a must! Explore the new roadmap to learn more: bit.ly/3kk43EP @Microsoft @Accenture @UNBBCom		"4Retweets
12Twitter Likes
8.1KTwitter Followers"
